2023-03-19 22:07:25.336 [main] INFO  org.example.Main - 
 Start of Logging...
2023-03-19 22:07:25.339 [main] ERROR org.example.Main - 
 This is an test error message...
2023-03-19 22:07:25.339 [main] FATAL org.example.Main - 
 This is an test fatal massage...
2023-03-19 22:07:25.339 [main] DEBUG org.example.Main - 
 Control now in the main loop....
2023-03-19 22:07:35.444 [main] DEBUG org.example.Main - 
 See you later...
2023-03-21 21:47:48.894 [main] INFO  org.example.Main - [SQ ROOT] - 9.0
2023-03-21 21:47:48.894 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 3.0
2023-03-21 21:47:48.894 [main] INFO  org.example.Main - [SQ ROOT] - 4.0
2023-03-21 21:47:48.894 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 2.0
2023-03-21 21:47:48.895 [main] INFO  org.example.Main - [SQ ROOT] - 3.0
2023-03-21 21:47:48.895 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-21 21:47:48.895 [main] INFO  org.example.Main - [SQ ROOT] - 4.0
2023-03-21 21:47:48.895 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 2.0
2023-03-21 21:47:48.895 [main] INFO  org.example.Main - [SQ ROOT] - 81.0
2023-03-21 21:47:48.895 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 9.0
2023-03-21 21:47:48.896 [main] INFO  org.example.Main - [SQ ROOT] - 36.0
2023-03-21 21:47:48.896 [main] INFO  org.example.Main - [RESULT - SQ ROOT] - 6.0
2023-03-21 21:47:48.896 [main] INFO  org.example.Main - [NATURAL LOG] - 1.0
2023-03-21 21:47:48.897 [main] INFO  org.example.Main - [RESULT - NATURAL LOG] - 0.0
2023-03-21 21:47:48.897 [main] INFO  org.example.Main - [NATURAL LOG] - 1.0
2023-03-21 21:47:48.897 [main] INFO  org.example.Main - [RESULT - NATURAL LOG] - 0.0
2023-03-21 21:47:48.904 [main] INFO  org.example.Main - [POWER - 2.0 RAISED TO] 2.0
2023-03-21 21:47:48.905 [main] INFO  org.example.Main - [RESULT - POWER] - 4.0
2023-03-21 21:47:48.905 [main] INFO  org.example.Main - [POWER - 2.0 RAISED TO] 3.0
2023-03-21 21:47:48.905 [main] INFO  org.example.Main - [RESULT - POWER] - 8.0
2023-03-21 21:47:48.905 [main] INFO  org.example.Main - [POWER - 2.0 RAISED TO] 3.0
2023-03-21 21:47:48.906 [main] INFO  org.example.Main - [RESULT - POWER] - 8.0
2023-03-21 21:47:48.906 [main] INFO  org.example.Main - [POWER - 4.0 RAISED TO] 3.0
2023-03-21 21:47:48.906 [main] INFO  org.example.Main - [RESULT - POWER] - 64.0
2023-03-21 21:47:48.906 [main] INFO  org.example.Main - [NATURAL LOG] - 2.4
2023-03-21 21:47:48.906 [main] INFO  org.example.Main - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-21 21:47:48.907 [main] INFO  org.example.Main - [NATURAL LOG] - 2.1
2023-03-21 21:47:48.907 [main] INFO  org.example.Main - [RESULT - NATURAL LOG] - 0.7419373447293773
